臺北市-松山區-腸道感染症-女-85-89歲,1
臺北市-松山區-結核病-男-55-59歲,1
臺北市-松山區-結核病-男-75-79歲,1
臺北市-松山區-結核病-男-80-84歲,1
臺北市-松山區-結核病-男-90-94歲,1
臺北市-松山區-結核病-女-80-84歲,1
臺北市-松山區-結核病-女-85-89歲,1
臺北市-松山區-敗血症-男-55-59歲,1
臺北市-松山區-敗血症-男-60-64歲,1
臺北市-松山區-敗血症-男-75-79歲,4
臺北市-松山區-敗血症-男-80-84歲,5
臺北市-松山區-敗血症-男-85-89歲,13
臺北市-松山區-敗血症-男-90-94歲,6
臺北市-松山區-敗血症-男-95-99歲,2
臺北市-松山區-敗血症-女-50-54歲,1
臺北市-松山區-敗血症-女-55-59歲,1
臺北市-松山區-敗血症-女-60-64歲,1
臺北市-松山區-敗血症-女-75-79歲,1
臺北市-松山區-敗血症-女-80-84歲,3
臺北市-松山區-敗血症-女-85-89歲,3
臺北市-松山區-敗血症-女-90-94歲,4
臺北市-松山區-敗血症-女-95-99歲,6
臺北市-松山區-病毒性肝炎-男-60-64歲,1
臺北市-松山區-病毒性肝炎-男-75-79歲,1
臺北市-松山區-病毒性肝炎-女-80-84歲,1
臺北市-松山區-惡性腫瘤-男-25-29歲,1
臺北市-松山區-惡性腫瘤-男-30-34歲,1
臺北市-松山區-惡性腫瘤-男-35-39歲,1
臺北市-松山區-惡性腫瘤-男-40-44歲,3
臺北市-松山區-惡性腫瘤-男-45-49歲,11
臺北市-松山區-惡性腫瘤-男-50-54歲,12
臺北市-松山區-惡性腫瘤-男-55-59歲,17
臺北市-松山區-惡性腫瘤-男-60-64歲,20
臺北市-松山區-惡性腫瘤-男-65-69歲,27
臺北市-松山區-惡性腫瘤-男-70-74歲,26
臺北市-松山區-惡性腫瘤-男-75-79歲,27
臺北市-松山區-惡性腫瘤-男-80-84歲,33
臺北市-松山區-惡性腫瘤-男-85-89歲,27
臺北市-松山區-惡性腫瘤-男-90-94歲,19
臺北市-松山區-惡性腫瘤-男-95-99歲,7
臺北市-松山區-惡性腫瘤-男-100歲以上,1
臺北市-松山區-惡性腫瘤-女-15-19歲,2
臺北市-松山區-惡性腫瘤-女-20-24歲,2
臺北市-松山區-惡性腫瘤-女-25-29歲,1
臺北市-松山區-惡性腫瘤-女-30-34歲,2
